,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,1023850,1015763,1004060,994093,987065,983288,983764,985193,995891,1009565,1030063,1047376,1064713,1080876,1091264,1098746,1105288,1109743,1122176,1143352,1159208,1170317,1175450,1171112,1153001,1149041,1159004,1176006,1190839,1186713,1156317,1184175,1241956
27,1235874,1201033,1154538,1112171,1079045,1065920,1053045,1041386,1030184,1023432,1020402,1027855,1035761,1051111,1066107,1085308,1105628,1129313,1153714,1172288,1180127,1184107,1184343,1188180,1191554,1203495,1226918,1257572,1284131,1293462,1286654,1316819,1391946
32,1283472,1293444,1303864,1308137,1301887,1273499,1238172,1191860,1148264,1117071,1109719,1103810,1094996,1086057,1082157,1078928,1087975,1103438,1124176,1144232,1166734,1188053,1209142,1224583,1228660,1237693,1245046,1259634,1282927,1310938,1328966,1374241,1456831
37,1173294,1207438,1238282,1261805,1283215,1306984,1320651,1333250,1338852,1334113,1308192,1277535,1234499,1193023,1161372,1149967,1143959,1141883,1139056,1140102,1138917,1151109,1165511,1183140,1196378,1215225,1233779,1259179,1283572,1302601,1311611,1337179,1387063
42,1061711,1072063,1092612,1122280,1157618,1189973,1227382,1258559,1280760,1301404,1326076,1341042,1355939,1367683,1369208,1345518,1308678,1264510,1225090,1195842,1190820,1190258,1188171,1184653,1181944,1180512,1187083,1199307,1216783,1233549,1251535,1281650,1331021
47,829585,889989,939560,985934,1030656,1066168,1078358,1099487,1130053,1165359,1197830,1235160,1266999,1290005,1310295,1334085,1351267,1370378,1383330,1380675,1350619,1321616,1284458,1250980,1225096,1220635,1215865,1211971,1208544,1206070,1199760,1209788,1234659
52,667929,693592,727077,760220,792755,829470,889347,937913,981421,1025786,1063712,1077303,1098476,1130229,1166772,1200937,1235306,1265723,1290445,1313746,1341168,1359222,1377350,1390446,1390116,1366728,1332540,1291500,1256511,1230794,1226699,1225972,1229275
57,618673,618269,623228,637731,651829,671325,694457,724255,753822,783496,819373,880874,931350,975531,1018615,1055266,1065849,1085185,1114215,1148051,1179561,1220423,1258889,1289017,1314049,1341023,1356031,1371315,1382088,1378779,1350861,1321138,1288417
62,611479,614991,616488,615875,614518,613831,613580,617410,628494,639653,657946,682819,713917,746464,778439,814779,871617,918795,960807,1003271,1036375,1046791,1069380,1102133,1140142,1177035,1214882,1249345,1277365,1300615,1323885,1340083,1358461
67,587571,586515,587987,586428,587631,589813,593490,595146,594100,592084,591883,592194,596874,608858,619971,640237,664943,694918,725270,754636,787313,843119,891900,934317,976629,1011407,1024351,1044562,1076727,1112742,1146615,1186903,1225282
72,470193,492270,511744,529555,536517,540478,540941,543470,543203,546211,550110,554012,556027,555938,555492,556477,557928,563765,576572,590519,610296,629963,656006,682694,708093,739958,796059,843808,886576,928438,960825,974933,998233
77,366896,373336,376339,378607,389955,406896,426750,445516,462603,470473,475799,478396,482126,482994,486198,490142,495025,498701,500210,501977,503244,504855,510411,520840,530696,546238,567952,593029,619856,644683,674368,727179,772554
82,240000,249531,259328,270310,281296,287169,292285,295083,299205,310956,327204,344877,361357,376834,385285,391593,393706,397240,399478,404429,410233,414435,416467,417558,417342,418897,422145,429102,440860,453316,470137,487210,507257
87,130115,135497,140763,145966,151073,157547,163687,170489,178304,186940,191972,196683,199896,203928,214453,229161,242538,254649,266138,272893,277216,281236,285088,287293,290057,295336,300712,304281,307125,309201,311961,314575,319764
