,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,1061978,1051986,1041399,1030001,1021422,1017687,1023408,1027574,1042649,1058812,1079031,1094907,1113199,1129895,1142823,1152958,1155811,1154537,1163472,1178345,1193247,1220130,1242047,1253155,1246431,1245631,1259371,1281104,1298814,1286757,1248081,1277934,1354011
27,1272329,1230926,1182339,1136797,1101624,1085556,1076689,1064174,1054528,1050780,1052668,1057669,1062729,1073676,1084775,1099336,1118787,1143213,1167824,1184839,1188234,1199007,1208151,1225146,1240500,1265711,1293789,1334313,1369036,1385868,1388001,1425322,1517489
32,1301807,1310907,1322893,1331842,1327016,1298177,1263973,1211050,1165817,1136367,1130678,1127542,1119773,1108313,1099673,1092297,1094006,1103659,1120866,1138753,1159706,1178919,1200339,1219673,1228287,1246877,1262716,1284756,1315682,1349399,1375038,1428812,1532733
37,1174389,1204928,1239438,1264078,1287509,1312547,1331251,1345394,1356733,1354673,1331024,1300731,1255591,1213969,1184686,1172778,1162957,1157738,1148656,1141961,1133666,1140020,1150086,1163276,1171796,1190744,1217457,1253133,1289844,1316042,1331550,1361227,1425708
42,1069653,1074605,1089326,1116243,1149564,1181315,1218811,1251699,1275360,1299531,1329954,1350614,1369611,1386763,1390713,1370045,1332285,1283773,1240024,1206948,1195296,1190740,1185160,1175345,1165275,1157854,1162535,1178839,1203156,1226372,1253717,1287569,1346434
47,844293,900503,946112,987468,1029464,1063357,1075125,1091661,1118039,1150069,1181583,1220909,1257101,1284573,1309879,1338458,1360171,1384060,1400956,1399188,1369730,1336018,1292384,1251407,1219218,1208425,1200405,1194875,1189677,1186725,1181998,1193168,1224346
52,675039,698991,730094,760293,790309,825093,885687,934389,976696,1018908,1053791,1064064,1081056,1110462,1146726,1182023,1222694,1261485,1292709,1320351,1350112,1366894,1383138,1395487,1392129,1366499,1329128,1282987,1242002,1211150,1201071,1198861,1202081
57,616719,613492,616800,628825,640975,658356,681254,711047,741210,772497,809445,869043,916636,957182,997526,1032645,1045767,1067162,1099556,1137772,1173445,1211313,1249064,1276952,1299914,1324364,1341192,1358511,1372147,1368762,1339648,1303209,1261813
62,579778,587841,592319,594584,593667,592731,590778,593724,603086,613561,630923,655673,687285,720120,752838,788277,844267,891142,933320,977741,1013552,1023242,1041108,1069187,1102733,1135693,1172606,1209317,1239224,1264487,1289043,1305321,1323303
67,498506,502964,510437,515979,524327,532803,543037,548346,550543,549891,550139,548735,552371,562674,574170,594868,619597,648963,679137,709554,744659,801418,849036,888099,926169,957594,969133,986735,1015157,1048388,1079877,1117523,1154724
72,364432,381693,396877,412194,420003,426048,432147,441182,448533,458814,469453,479192,484479,487489,488120,489986,491071,497585,510145,524035,542580,564057,592125,621200,649511,682817,736152,779808,818630,855720,884954,895516,912977
77,255667,259131,260594,261541,269726,282170,297215,311273,325269,334440,343124,350505,360134,368045,377148,387225,396463,402987,407491,411318,415678,420251,428812,440666,452249,467991,489014,515087,542639,569007,597971,645769,685170
82,142053,147879,153830,160060,166297,170084,172892,174265,176145,184430,195935,209376,221898,233924,243208,251772,257050,264580,271525,280582,290458,299902,307227,313177,317618,323464,327855,334852,345618,357009,371296,388333,409343
87,62040,63705,65832,68117,70995,74421,76861,80229,84029,88469,91987,94423,96623,99365,106013,115729,124414,131911,139390,144968,149285,155860,163286,170259,177074,185229,191923,197254,202051,205067,209435,213124,218994
