,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
22,900,900,800,800,800,800,700,700,700,700,700,700,600,700,600,700,700,600,600,600,600,700,600,600,600,600,700,700,600,700,800,700,600
27,1000,1000,900,900,900,800,700,700,700,700,700,600,600,700,600,600,700,600,600,700,600,700,600,700,700,700,900,900,900,1100,1100,900,900
32,1200,1200,1200,1100,1200,1100,1000,900,800,900,700,800,800,800,800,700,700,700,800,800,800,700,700,800,700,900,1100,1000,1000,1300,1400,1200,1200
37,1500,1700,1700,1600,1600,1500,1300,1200,1200,1200,1100,1000,1100,1100,1000,1000,1000,900,1000,1000,900,800,900,1000,900,1000,1200,1200,1200,1500,1700,1600,1600
42,1900,2200,2200,2200,2200,2000,1900,1800,1800,1600,1700,1700,1600,1500,1600,1500,1500,1500,1500,1400,1400,1400,1300,1400,1300,1500,1400,1600,1600,2000,2100,1900,1900
47,3300,3000,3300,2900,3100,2800,2800,2500,2600,2800,2800,2700,2700,2500,2500,2500,2500,2300,2300,2400,2200,2100,2200,2100,2000,2100,2200,2300,2200,2400,2700,2700,2500
52,5200,5100,5100,5000,5100,4800,4500,4200,4300,4200,4300,4200,4400,4100,4000,4100,4000,4100,4000,3700,3600,3700,3500,3400,3300,3400,3400,3500,3400,3800,4100,3800,3700
57,9300,9200,8800,8400,7900,8000,7900,7400,7400,7000,7000,6800,6600,6600,6400,6200,6500,6300,6100,6000,5900,5800,6000,5700,5600,5700,5500,5400,5600,5900,6000,6200,6000
62,15300,15100,14700,14800,14000,13300,12900,12500,11800,12200,11400,11600,11500,10800,10100,10400,9800,9800,9100,9300,9200,8800,9100,9100,9000,9000,9100,8900,8700,9200,9200,9300,8800
67,25000,24000,23900,23500,23200,22400,21600,21000,19800,19500,18600,18600,18100,17400,16900,15800,15900,15300,15100,14600,14200,13600,13200,13700,13000,13400,13000,13600,13500,13700,14100,14400,13400
72,37900,37000,38300,37800,36900,37300,35300,34600,33700,32200,30100,29400,29600,28200,27300,26200,26100,25000,24100,22400,22500,21900,22100,21500,20900,20700,21200,20000,20200,20900,21200,21500,20400
77,62500,61900,61600,60400,59700,57500,57600,55800,55200,52500,51200,49700,48500,45900,45400,43300,43100,40400,40200,38800,37400,36600,34700,35300,33800,33600,33600,34300,32000,34400,34400,34400,31500
82,98800,97900,98400,100200,97400,96600,96000,95000,93400,89100,83000,80100,80500,77300,75600,72200,73300,72200,71200,68000,64300,62800,63100,62100,60600,57700,59300,58400,56700,59000,57000,60100,55400
87,156300,156700,157000,156900,157400,155400,152400,156800,159800,149500,141700,140800,142400,130100,130900,122300,122100,122300,118300,117400,116600,110100,110100,111100,109100,106200,107000,106600,104400,106900,102900,110000,101300
